esta despedido;[[Bolt]]→... de Penny le dice al representante que '''esta despedido'''...
mas remotos;[[Historia moderna de España]]→... historia de Espana, desde los tiempos '''mas remotos''' hasta nuestras dias''] pg. 114 -y ...
lo coloco;[[Gabriel Horacio González]]→... de [{[Humberto Zuccarelli]}] quien '''lo coloco''' como titular en el [{[Torneo 2009 (...
esta formado;[[Costas de España]]→...El archipiélago '''esta formado''' por siete islas principales y algunos ...
inauguro;[[Puerto de Fonte da cova]]→...Se '''inauguro''' en 2006 un Centro de Desenvolvimento ...
se enfoco;[[Gaia Online]]→... usuario "Lanzer"), el sitio web social '''se enfoco''' hacia los juegos de azar.<ref>[<url> ...
volvio;[[Anexo:Episodios de Chuck]]→... [{[fan]}]s.<ref><url></ref> Después se '''volvio''' a renovar por una cuarta temporada a ...
fingio;[[Halloween H20: Twenty Years Later]]→...en vez de una hija dando a entender que '''fingio''' su muerte para que Michael no la ...
de musica;[[Orden DeMolay]]→...Torneos '''de musica'''...
mas extendido;[[Cetáceos de Canarias]]→...trópicos hasta los polos, es el cetáceo '''mas extendido'''<url> || [{[<url>|thumb...
se fallo;[[Torneo Finalización 2009 (Colombia)]]→... fueron entregados al Medellín, además '''se fallo''' que el resultado final fuera de 0-3 en ...
mas de 230;[[Hernán Galíndez]]→... del conjunto capitalino, jugando '''mas de 230''' partidos...
esta localizada;[[Tomás Fábregas]]→... ya existe una calle con su nombre,  '''esta localizada''' en el Grupo Maria Pita (Labañou...
lanzandoles;[[Cars 2]]→... unos miembros del clan de "los Hugos" '''lanzandoles''' un potente chorro de agua...
mas de;[[El secreto de Santa Vittoria]]→... le contesta "Oh!, Hay... hay un millón '''mas de''' donde a salido esa, capitán". Ya sin la...
con mas;[[David González (futbolista)]]→... el DIM, convirtiéndose en el jugador '''con mas''' partidos en copa Libertadores del ...
guió;[[Anexo:Personajes de Sonic the Hedgehog]]→... por Vector, a los que Knuckles '''guió''' para vencer al Dr. Eggman. En aquella ...
constituyendose;[[Carnaval de Águilas]]→...del Carnaval de Águilas<ref><url></ref> '''constituyendose''' un total de 14 prácticas carnavaleras ...
esta constituido;[[Los Nogales (Santa Fe)]]→...unas 68 cuadras). Actualmente el pueblo '''esta constituido''' por 16 cuadras y carece de muchas de ...
guió;[[Thomas Fitzpatrick]]→... larga expedición (1842-1846) y también '''guió''' al coronel [{[Philip Kearny]}] y sus ...
guió;[[Perro polar argentino]]→... oculta. En una oportunidad, además, '''guió''' con toda precisión a un equipo de ...
protagonizo;[[Pedro Botelho]]→... no cesaron en el club celeste, ya que '''protagonizo''' diversos incidentes, desde peleas sus ...
mas pronto;[[José Miguel Díaz Vélez]]→...El '''mas pronto''' envío del Diputado de esta Villa, y el ...
Esta considerado;[[Mapaniopsis]]→...'''Esta considerado''' un sinónimo del género ''[{[Mapania...
se Llevo;[[Mi pecado]]→...<ref>[<url> Tabasco Hoy (Itati Cantoral '''se Llevo''' la Noche en Premios Bravo)]</ref...
la tomo;[[Cláusula abusiva]]→... más fuerte que ustedes; la tercera me '''la tomo''' porque trabajé más que todos; y quien ...
esta restringido;[[Fragas del Eume]]→...tráfico rodado por la carretera DP-6902 '''esta restringido''' durante la temporada alta (semana santa...
esta basada;[[Una luz en el camino]]→... ultima parte, ''Una luz en el camino'' '''esta basada''' en una historia original basada en la ...
esta considerada;[[Provincia del Neuquén]]→... Pitrén]}],<ref><url></ref> siendo '''esta considerada''' como los ancestros de los mapuche ...
de Musica;[[Música en Honduras]]→...Escuela Metropolitana '''de Musica'''...
esta encargada;[[Electrificación del Caroní]]→...Corporación Venezolana de Guayana]}] '''esta encargada''' del sector hidroeléctrico en la región ...
esta dirigida;[[Tratado de Westminster (1756)]]→...embargo Austria, cuya política exterior '''esta dirigida''' por [{[Wenzel Anton Graf Kaunitz]}], se...
Mas adelante;[[Ray González]]→... es derrotado por [{[Steve Corino]}]. '''Mas adelante''' tendría un feudo con [{[Orlando Colón...
los mas;[[Plecostomus]]→...plecostomus, este hermoso pez es uno de '''los mas''' olvidados por los aficionados, olvidado...
mas completa;[[Juan Carlos Garrido Fernández]]→...><url>El submarino cierra su temporada '''mas completa'''<url>[{[Agencia EFE]}]<url>[{[...
dimitio;[[Arquidiócesis de Varsovia]]→...Raczyński]}] † ([{[1806]}] - [{[1818]}] '''dimitio''') (administrador apostolico...
con mas;[[Anexo:Aves de Bolivia]]→...]</ref> [{[Bolivia]}] es el quinto país '''con mas''' especies de aves del mundo, sólo ...
o mas;[[Left 4 Dead 2]]→... un minijuego alcanzando los 760 puntos '''o mas''', si lo llevamos hasta el nivel final y ...
se reflejo;[[Arquitectura moderna]]→... industrializado, que posteriormente '''se reflejo''' en los países en vía de ...
se suicido;[[John Quidor]]→...pintor, porque llevaba un parche negro; '''se suicido''' poco después debido al bullying de sus ...
lo llevo;[[Hanyer Mosquera]]→...Centauros Villavicencio y su buen nivel '''lo llevo''' al Deportes Quindio, con el equipo de ...
La musica;[[Modo Antiquo]]→...2000 - '''''La musica''' dei [{[Cruzadas|Crociati]}]''. Amadeus...
que jugo;[[Seve Goiburu]]→...]}], [{[1930]}] y [{[1940]}], en las '''que jugo''' en el [{[Club Atlético Osasuna]}], [{[...
esta ubicada;[[Saga Millennium]]→... mensajes, Larsson escribió "La trama '''esta ubicada''' a 120 kilómetros al norte de la [{[...
los mas;[[Historia de Quito]]→... e a plazido a nuestro señor que '''los mas''' señores e prençipales e yndios dellas ...
