"marzo, 2009",[[Punk Goes Pop 2]],"<url> 11 de Febrero, 1997"
"septiembre, 2007",[[Autumn of the Seraphs]],"26 de Agosto, 1991"
"enero, 2008",[[Incidente del golfo de Tonkín]],'<<<Associated Press>>>' 31 de diciembre 1993.
"Enero, 1982",[[Senses Working Overtime]],discografica  = <<<Epic Records>>> |
"Enero, 2004",[[Sincerely]],"<url> 12 de Abril, 2006 (<<<Japón>>>)"
"Marzo, 1968",[[Proyecto Camelot]],"<url> 17 de Junio, 2003"
"Febrero, 2007",[[Anexo:Discografía de Noisettes]],noviembre 1985 (IK)</ref>
"octubre, 1856",[[Said bin (Sultán de Omán)]],"Un joven, que pide ayuda para que le den a Idona campanilla, su amada, un reloj por el;"
"abril, 1989",[[Clam Dip &amp; Other Delights]],"'Memorias de una princesa de Zanzíbar' Traducción de Carles Andreu Saburit, Editorial Alba Editorial, Barcelona, septiembre 2004."
"agosto, 2009",[[Caño Martín Peña]],"| año = Abril, 2006"
"noviembre, 1963",[[Dylan Walsh]],"1 (Julio, 2011)."
"Octubre, 2007",[[Kerli (EP)]],discografica       = <<<Century Media Records>>>   |
"Mayo, 1863",[[Francisco de Céspedes]],"'Hermosillo, Sonora, México, (27 de Marzo, 2014)' – El Gobernador del Estado de Sonora, Guillermo Padrés Elías, Frédéric Michelland, Presidente de Latécoère y Eric Gillard, CEO de Latécoère, presidieron de manera conjunta la ceremonia de inauguración del nuevo complejo industrial de manufactura de la empresa de origen francés en Hermosillo, Sonora."
"Abril, 2000",[[The Menace (álbum de Elastica)]],"La banda estaba en la parte central de la arena, con el público alrededor, y hubo pausas regulares para permitir a la banda cambiar su equipo de posición y enfrentar al público en todas las direcciones.<url> El concierto generó una intensa emoción.<url> El día siguiente dieron un segundo concierto, en el <<<Carnegie Hall>>> de Nueva York, que contó con la asistencia de dos mil aficionados,<url> y que nuevamente fue muy bien recibido.<url> Tras el concierto en el Carnegie Hall, la banda viajó a Miami, y el domingo 16 de febrero 1964 hicieron su segunda aparición televisiva en 'El Show de Ed Sullivan', que esta vez fue transmitido en vivo desde el Napoleon Ballroom del Hotel Deauville de Miami."
"julio, 2010",[[Creation Festival]],"''Jonny Quest'' es una serie de ficción estrenada el 18 de septiembre 1964, creada por <<<Doug Wildey>>> para la compañía de animación <<<estadounidense>>> <<<Hanna-Barbera>>>."
"mayo, 1950",[[Miguel Mejides]],"''Santa Isabel'', de <<<1932>>> a <<<1993>>> llamada oficialmente ''General Trías'',<ref name=Historico><url></ref> es una población del estado mexicano de <<<Chihuahua>>>, es cabecera del <<<Municipio de Santa Isabel|municipio del mismo nombre>>>."
"agosto, 1889",[[Jan Ernst Matzeliger]],"Fue liberada el 26 de septiembre 2013 para <<<Vocaloid|VOCALOID3>>> y se renovó el diseño, estaba vez por iXima.<ref><url></ref>"
"Septiembre, 2006",[[IV (álbum de Veruca Salt)]],"A "" Amas de casa desesperadas ""Devuelve malo !>,'' Entertainment Weekly, 06 de mayo 2010 </ref>"
"abril, 1999",[[Fórmula del haversine]],"Universidad Nacional Autónoma de Mexico, <<<México>>>."
"Octubre, 2008",[[The Dawn of Grace]],"<url>Diciembre 1934<ref name=""1934nyt""><<cita noticia <url>Mark Ways in the City <url><<<New York Times>>> <url>16 de diciembre de 1934>></ref>"
"agosto, 1962",[[Melissa Rosenberg]],"9 de junio, 2010)</ref> Allí permanecerá hasta <<<1904>>> cuando cambiará nuevamente de sede y se radicará en un local perteneciente a Antonio Reviriego, en la esquina de Buenos Aires y Urquiza (donde actualmente se encuentra <<<El Diario (Paraná)|El Diario>>>)."
"enero, 2011",[[María Gabriela de Faría]],"El 16 de abril 1912, la legislatura aprobó el ROM Act para establecer el Museo Real de Ontario."
"Octubre, 2002",[[Anexo:Discografía de Jason Mraz]],"* A partir de Octubre 2014 <<<Fox Sports Latinoamérica|Fox Sports>>> emite RAW (en vivo), SmackDown!, Main Event, NXT y Vintage."
"enero, 2007",[[Francesco Aureri]],* Orden de la Amistad de 04 de noviembre 2009
"Marzo, 2011",[[Nintendogs + Cats]],Se fundó el 15 de marzo 1887 y su primer presidente fue Robert F.
"junio, 2010",[[Attack Attack! (álbum)]],"* Estados Unidos Cuerpo de Ingenieros del Ejército, ""<<url> Ingeniería y Diseño - sistema de protección catódica de Obra Civil Estructuras> "", Ingeniería manual 1110-2-2704, 12 de julio 2004"
"en el,",[[Dormammu]],"de acuerdo a los resultados del Conteo de Población y Vivienda de <<<2005>>> realizado por el <<<Instituto Nacional de Estadística y Geografía>>> tiene un total de 303 habitantes, de los cuales 153 son hombres y 150 son mujeres.<ref name=Historico><url></ref>"
"abril, 2015",[[Distrito electoral federal 7 de Oaxaca]],"''Rockets Redglare'' (8 de mayo, 1949 - 28 de mayo, 2001) fue un <<<actor>>> y <<<comediante en vivo|comediante>>> estadounidense."
"junio, 2010",[[Chemical Rush]],"<url> 'Narodne novine', 22 de mayo, 1950"
"Marzo, 2003",[[Glukoza Nostra]],Mayo 2006
"mayo, 2003",[[Gonzalo Rodríguez Risco]],"y finalmente, desde una perspectiva económica, ha devenido en un gran centro de comercio de carácter popular.<ref name=""Plan Centro Historico 2003""><url></ref>"
